verif_code,userid,itemid,key_press,rt
003o5vmt5mhnhtbpt2,1,1,2,2214
003o5vmt5mhnhtbpt2,1,2,1,6729
003o5vmt5mhnhtbpt2,1,3,2,2224
003o5vmt5mhnhtbpt2,1,4,2,2315
003o5vmt5mhnhtbpt2,1,5,2,2206
003o5vmt5mhnhtbpt2,1,6,1,1816
003o5vmt5mhnhtbpt2,1,7,2,3771
003o5vmt5mhnhtbpt2,1,8,1,2808
003o5vmt5mhnhtbpt2,1,9,1,3467
003o5vmt5mhnhtbpt2,1,10,2,3409
003o5vmt5mhnhtbpt2,1,11,1,5111
003o5vmt5mhnhtbpt2,1,12,2,2029
003o5vmt5mhnhtbpt2,1,13,1,3931
003o5vmt5mhnhtbpt2,1,14,2,2019
003o5vmt5mhnhtbpt2,1,15,1,3814
003o5vmt5mhnhtbpt2,1,16,1,2918
003o5vmt5mhnhtbpt2,1,17,1,3408
003o5vmt5mhnhtbpt2,1,18,2,4895
003o5vmt5mhnhtbpt2,1,19,2,2463
003o5vmt5mhnhtbpt2,1,20,1,2883
003o5vmt5mhnhtbpt2,1,21,2,2119
003o5vmt5mhnhtbpt2,1,22,2,3751
003o5vmt5mhnhtbpt2,1,23,2,4328
003o5vmt5mhnhtbpt2,1,24,1,1667
003o5vmt5mhnhtbpt2,1,25,2,3371
006cw6p10ydjn25j9h,2,1,1,1708
006cw6p10ydjn25j9h,2,2,2,3830
006cw6p10ydjn25j9h,2,3,2,1969
006cw6p10ydjn25j9h,2,4,1,2755
006cw6p10ydjn25j9h,2,5,1,2015
006cw6p10ydjn25j9h,2,6,1,1806
006cw6p10ydjn25j9h,2,7,2,3006
006cw6p10ydjn25j9h,2,8,1,2077
006cw6p10ydjn25j9h,2,9,1,1751
006cw6p10ydjn25j9h,2,10,2,2431
006cw6p10ydjn25j9h,2,11,2,3379
006cw6p10ydjn25j9h,2,12,2,2139
006cw6p10ydjn25j9h,2,13,1,5006
006cw6p10ydjn25j9h,2,14,2,3642
006cw6p10ydjn25j9h,2,15,2,2360
006cw6p10ydjn25j9h,2,16,2,5911
006cw6p10ydjn25j9h,2,17,2,3208
006cw6p10ydjn25j9h,2,18,1,2703
006cw6p10ydjn25j9h,2,19,2,3590
006cw6p10ydjn25j9h,2,20,2,2801
006cw6p10ydjn25j9h,2,21,1,1688
006cw6p10ydjn25j9h,2,22,1,4300
006cw6p10ydjn25j9h,2,23,1,2819
006cw6p10ydjn25j9h,2,24,1,2880
006cw6p10ydjn25j9h,2,25,2,2139
00d7tjeoeaj803jasp,3,1,1,2074
00d7tjeoeaj803jasp,3,2,2,2628
00d7tjeoeaj803jasp,3,3,1,1478
00d7tjeoeaj803jasp,3,4,1,1758
00d7tjeoeaj803jasp,3,5,1,2387
00d7tjeoeaj803jasp,3,6,1,1622
